,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
5225,IN10029910,PENDINGVEN,EDC00001,Midrange,Midrange - Storage and Virtualization,20APR2016:10:29:28,7
5333,IN10029942,PENDINGVEN,NW000412,Fixed Line,Fixed Line,06JUN2016:08:58:40,34
5575,IN10029996,PENDINGVEN,NW000431,GC WAN,GC WAN,20APR2016:14:45:56,6
5584,IN10029998,PENDINGVEN,NW000427,Email,Email,21APR2016:14:00:00,33
5764,IN10030042,PENDINGVEN,NW000412,Fixed Line,Fixed Line,11MAY2016:09:43:08,6
6013,IN10030098,PENDINGVEN,DC000163,Other Activities,Other - Service Management,22APR2016:01:32:49,13
6014,IN10030098,PENDINGVEN,DC000133,High-performance Computing,High-performance Computing,22APR2016:01:38:25,13
6114,IN10030121,PENDINGVEN,DC000130,High-performance Computing,HPC - Interaction & Visualization,25MAY2016:11:41:51,57
6141,IN10030126,PENDINGVEN,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,22APR2016:11:56:33,7
6460,IN10030205,PENDINGVEN,DC000163,Other Activities,Other - Service Management,23APR2016:12:26:43,0
6668,IN10030254,PENDINGVEN,DC000127,High-performance Computing,HPC -Big Data Exchange,25APR2016:07:17:00,17
6856,IN10030296,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,03MAY2016:13:06:36,28
6857,IN10030296,PENDINGVEN,ENT00015,Intra-building Network Services,IBN - Data Centre Network,03MAY2016:14:03:51,27
6858,IN10030296,PENDINGVEN,ENT00003,Intra-building Network Services,IBN - Data Centre Network,04MAY2016:08:46:14,80
6859,IN10030296,PENDINGVEN,ESI00028,Other Activities,Other - Security,06MAY2016:09:26:16,0
6938,IN10030313,PENDINGVEN,0,0,0,25APR2016:10:29:48,0
7058,IN10030338,PENDINGVEN,EDC00026,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,25APR2016:17:38:59,21
7173,IN10030360,PENDINGVEN,0,0,0,25APR2016:16:18:51,0
7175,IN10030360,PENDINGVEN,DC000163,Other Activities,Other - Service Management,25APR2016:16:45:49,24
7326,IN10030395,PENDINGVEN,EDC00025,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,26APR2016:08:54:32,2
7491,IN10030439,PENDINGVEN,DC000130,High-performance Computing,HPC - Interaction & Visualization,26APR2016:14:17:05,6
7550,IN10030452,PENDINGVEN,NW000412,Fixed Line,Fixed Line,27APR2016:15:34:29,8
7795,IN10030510,PENDINGVEN,NW000412,Fixed Line,Fixed Line,27APR2016:15:36:19,8
7807,IN10030513,PENDINGVEN,NW000452,Intra-building Network Services,IBN - GC LAN,28APR2016:14:43:17,15
7813,IN10030514,PENDINGVEN,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,28APR2016:08:54:39,26
7891,IN10030531,PENDINGVEN,NW000412,Fixed Line,Fixed Line,03MAY2016:10:14:36,42
7943,IN10030539,PENDINGVEN,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,29APR2016:12:02:09,107
7968,IN10030547,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,27APR2016:12:52:09,237
7969,IN10030547,PENDINGVEN,DC000163,Other Activities,Other - Service Management,27APR2016:13:04:50,237
7973,IN10030548,PENDINGVEN,DC000163,Other Activities,Other - Service Management,27APR2016:13:02:06,237
7974,IN10030548,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,30APR2016:20:28:51,213
8032,IN10030560,PENDINGVEN,ENT00009,Mobile Devices,Mobile Devices,02JUN2016:08:59:36,39
8176,IN10030597,PENDINGVEN,NDS00028,Intra-building Network Services,IBN - GC LAN,28APR2016:13:17:29,2
8204,IN10030603,PENDINGVEN,NW000433,GC WAN,GC WAN,28APR2016:11:34:12,12
8209,IN10030604,PENDINGVEN,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,28APR2016:09:49:26,7
8212,IN10030604,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,09MAY2016:20:17:47,226
8288,IN10030621,PENDINGVEN,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,28APR2016:13:45:30,4
8331,IN10030628,PENDINGVEN,ENT00009,Mobile Devices,Mobile Devices,09MAY2016:09:29:32,9
8385,IN10030642,PENDINGVEN,0,0,0,28APR2016:18:26:25,0
8401,IN10030643,PENDINGVEN,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,28APR2016:18:54:42,10
8514,IN10030670,PENDINGVEN,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,02MAY2016:08:49:28,281
8560,IN10030680,PENDINGVEN,NW000412,Fixed Line,Fixed Line,02MAY2016:08:08:49,12
8842,IN10030746,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,30APR2016:22:41:22,111
8843,IN10030746,PENDINGVEN,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,06MAY2016:10:46:52,67
8941,IN10030765,PENDINGVEN,NW000417,GC WAN,GC WAN,02MAY2016:09:17:21,38
9045,IN10030788,PENDINGVEN,NW000412,Fixed Line,Fixed Line,15JUN2016:09:32:11,5
9081,IN10030795,PENDINGVEN,SM000501,Other Activities,Other - Service Management,02MAY2016:09:08:27,79
9287,IN10030840,PENDINGVEN,EDC00001,Midrange,Midrange - Storage and Virtualization,04MAY2016:08:37:30,236
9369,IN10030858,PENDINGVEN,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,30MAY2016:18:52:37,1150
9687,IN10030920,PENDINGVEN,NW000417,GC WAN,GC WAN,05MAY2016:14:59:20,1192
9715,IN10030927,PENDINGVEN,NW000431,GC WAN,GC WAN,05MAY2016:09:51:56,0
9761,IN10030936,PENDINGVEN,NW000412,Fixed Line,Fixed Line,27JUL2016:09:22:08,19
9787,IN10030941,PENDINGVEN,NW000453,Intra-building Network Services,IBN - GC LAN,05MAY2016:08:56:15,10
9807,IN10030946,PENDINGVEN,NW000431,GC WAN,GC WAN,04MAY2016:13:22:06,8
9817,IN10030948,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,04MAY2016:04:17:07,21
9897,IN10030964,PENDINGVEN,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,31AUG2016:13:40:24,127
9928,IN10030970,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,16MAY2016:12:45:15,0
9929,IN10030970,PENDINGVEN,DC000130,High-performance Computing,HPC - Interaction & Visualization,16MAY2016:12:59:27,0
10172,IN10031024,PENDINGVEN,DC000163,Other Activities,Other - Service Management,04MAY2016:21:18:53,12
10206,IN10031030,PENDINGVEN,NW000431,GC WAN,GC WAN,05MAY2016:07:13:36,4
10303,IN10031051,PENDINGVEN,NW000405,Intra-building Network Services,IBN - GC LAN,05MAY2016:09:56:06,10
10373,IN10031070,PENDINGVEN,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,11MAY2016:15:29:41,0
10893,IN10031194,PENDINGVEN,NW000412,Fixed Line,Fixed Line,09JUN2016:10:12:19,17
10928,IN10031201,PENDINGVEN,DC000163,Other Activities,Other - Service Management,06MAY2016:17:55:48,25
10929,IN10031201,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,09MAY2016:09:46:51,22
10995,IN10031215,PENDINGVEN,NW000405,Intra-building Network Services,IBN - GC LAN,10MAY2016:10:54:29,497
11041,IN10031226,PENDINGVEN,DC000163,Other Activities,Other - Service Management,07MAY2016:01:57:55,9
11067,IN10031232,PENDINGVEN,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,13MAY2016:10:27:21,23
11068,IN10031232,PENDINGVEN,NW000427,Email,Email,13MAY2016:10:28:50,23
11069,IN10031232,PENDINGVEN,ENT00009,Mobile Devices,Mobile Devices,17MAY2016:08:11:04,6
11223,IN10031261,PENDINGVEN,NW000412,Fixed Line,Fixed Line,11MAY2016:09:45:02,0
11265,IN10031267,PENDINGVEN,NW000412,Fixed Line,Fixed Line,13MAY2016:13:59:40,101
11416,IN10031301,PENDINGVEN,NW000431,GC WAN,GC WAN,09MAY2016:07:34:18,0
11475,IN10031312,PENDINGVEN,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,09MAY2016:10:52:04,2
11484,IN10031314,PENDINGVEN,NW000431,GC WAN,GC WAN,09MAY2016:07:32:44,21
11485,IN10031314,PENDINGVEN,NW000405,Intra-building Network Services,IBN - GC LAN,09MAY2016:07:40:37,21
11520,IN10031322,PENDINGVEN,DC000163,Other Activities,Other - Service Management,09MAY2016:04:03:33,6
11538,IN10031326,PENDINGVEN,NW000412,Fixed Line,Fixed Line,09MAY2016:10:38:11,3
11662,IN10031356,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,09MAY2016:09:23:35,20
11726,IN10031369,PENDINGVEN,DC000129,High-performance Computing,High-performance Computing,12MAY2016:14:13:35,7
11796,IN10031384,PENDINGVEN,DC000130,High-performance Computing,HPC - Interaction & Visualization,09MAY2016:15:39:47,23
11823,IN10031391,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,12MAY2016:14:48:33,0
11854,IN10031398,PENDINGVEN,0,0,0,09MAY2016:16:07:23,0
11863,IN10031399,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,09MAY2016:17:31:44,1006
12019,IN10031435,PENDINGVEN,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,01JUN2016:08:13:33,90
12156,IN10031467,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,11MAY2016:11:27:51,0
12180,IN10031472,PENDINGVEN,DC000163,Other Activities,Other - Service Management,11MAY2016:04:48:44,90
12181,IN10031472,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,11MAY2016:06:37:10,232
12405,IN10031527,PENDINGVEN,ITS00309,Secure Remote Access,Secure Remote Access,13MAY2016:11:11:03,0
12853,IN10031626,PENDINGVEN,NW000447,Intra-building Network Services,IBN - GC LAN,16MAY2016:09:47:10,13
12956,IN10031653,PENDINGVEN,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,16MAY2016:14:06:14,3
12957,IN10031653,PENDINGVEN,EDC00067,Email,Email,16MAY2016:14:43:28,3
13158,IN10031700,PENDINGVEN,NW000431,GC WAN,GC WAN,16MAY2016:07:27:42,20
13208,IN10031710,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,15MAY2016:06:57:41,1115
13309,IN10031732,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,15MAY2016:06:57:14,1115
13318,IN10031734,PENDINGVEN,DC000163,Other Activities,Other - Service Management,14MAY2016:07:08:23,0
13351,IN10031742,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,15MAY2016:06:56:28,1115
13373,IN10031747,PENDINGVEN,EDC00025,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,26MAY2016:13:35:04,165
13374,IN10031747,PENDINGVEN,EDC00024,Data Centre Facilities Management,Facilities - Data Centre Facilities Racking & Stacking,31MAY2016:11:17:25,0
13548,IN10031788,PENDINGVEN,NW000412,Fixed Line,Fixed Line,28JUN2016:11:00:59,46
13553,IN10031789,PENDINGVEN,NW000405,Intra-building Network Services,IBN - GC LAN,16MAY2016:08:01:37,9
13710,IN10031823,PENDINGVEN,NW000412,Fixed Line,Fixed Line,18MAY2016:10:03:30,3
13797,IN10031842,PENDINGVEN,NW000417,GC WAN,GC WAN,16MAY2016:11:13:04,28
13841,IN10031850,PENDINGVEN,NW000412,Fixed Line,Fixed Line,18MAY2016:08:52:32,10
13857,IN10031855,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,17MAY2016:01:03:41,1004
13863,IN10031857,PENDINGVEN,ENT00009,Mobile Devices,Mobile Devices,18MAY2016:15:15:07,2
13984,IN10031884,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,16MAY2016:19:55:18,1004
13990,IN10031886,PENDINGVEN,NW000412,Fixed Line,Fixed Line,18MAY2016:09:25:40,19
14097,IN10031918,PENDINGVEN,DC000163,Other Activities,Other - Service Management,17MAY2016:10:36:00,6
14250,IN10031960,PENDINGVEN,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,17MAY2016:14:55:59,79
14251,IN10031960,PENDINGVEN,ITS00306,Other Activities,Other - Security,18MAY2016:08:34:03,0
14275,IN10031965,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,18MAY2016:21:14:49,0
14276,IN10031965,PENDINGVEN,DC000163,Other Activities,Other - Service Management,18MAY2016:21:15:31,45
14347,IN10031979,PENDINGVEN,DC000163,Other Activities,Other - Service Management,18MAY2016:21:13:22,0
14582,IN10032038,PENDINGVEN,NW000417,GC WAN,GC WAN,18MAY2016:18:02:46,3
14631,IN10032052,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,19MAY2016:05:30:02,947
14733,IN10032076,PENDINGVEN,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,19MAY2016:12:18:53,75
15014,IN10032150,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,24MAY2016:10:27:47,239
15109,IN10032167,PENDINGVEN,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,25MAY2016:11:15:13,6
15147,IN10032174,PENDINGVEN,NW000412,Fixed Line,Fixed Line,20JUN2016:09:18:51,21
15346,IN10032224,PENDINGVEN,NW000433,GC WAN,GC WAN,22MAY2016:20:21:15,35
15347,IN10032224,PENDINGVEN,DC000110,Data Centre Facilities Management,Data Centre Facilities Management,24MAY2016:14:10:59,15
15559,IN10032279,PENDINGVEN,DC000127,High-performance Computing,HPC -Big Data Exchange,25MAY2016:16:04:20,8
15657,IN10032299,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,30MAY2016:12:19:30,206
15658,IN10032299,PENDINGVEN,NW000428,Email,Email,14JUN2016:14:23:57,94
15659,IN10032299,PENDINGVEN,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,28JUN2016:08:47:07,0
15739,IN10032315,PENDINGVEN,DC000117,Storage,Storage,25MAY2016:07:44:50,14
15744,IN10032316,PENDINGVEN,0,0,0,24MAY2016:14:53:55,0
15746,IN10032316,PENDINGVEN,DC000133,High-performance Computing,High-performance Computing,24MAY2016:14:57:38,8
15792,IN10032325,PENDINGVEN,DC000127,High-performance Computing,HPC -Big Data Exchange,25MAY2016:16:03:35,8
15883,IN10032345,PENDINGVEN,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,25MAY2016:15:50:08,6
16043,IN10032382,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,30MAY2016:11:56:04,63
16078,IN10032389,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,25MAY2016:15:05:48,24
16093,IN10032393,PENDINGVEN,NW000417,GC WAN,GC WAN,25MAY2016:15:45:12,8
16125,IN10032399,PENDINGVEN,NW000417,GC WAN,GC WAN,09JUN2016:11:12:18,415
16142,IN10032406,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,25MAY2016:18:42:09,22
16282,IN10032440,PENDINGVEN,DC000130,High-performance Computing,HPC - Interaction & Visualization,26MAY2016:09:07:16,44
16347,IN10032453,PENDINGVEN,DC000127,High-performance Computing,HPC -Big Data Exchange,26MAY2016:13:13:43,16
16490,IN10032484,PENDINGVEN,0,0,0,26MAY2016:16:47:48,0
16586,IN10032506,PENDINGVEN,NDS00028,Intra-building Network Services,IBN - GC LAN,27MAY2016:02:05:29,4
16621,IN10032514,PENDINGVEN,NW000417,GC WAN,GC WAN,03JUN2016:11:06:31,996
16687,IN10032530,PENDINGVEN,NW000417,GC WAN,GC WAN,27MAY2016:10:40:40,3
16711,IN10032536,PENDINGVEN,NW000405,Intra-building Network Services,IBN - GC LAN,27MAY2016:12:50:10,115
16909,IN10032575,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,28MAY2016:07:03:16,0
17040,IN10032605,PENDINGVEN,DC000128,High-performance Computing,High-performance Computing,28MAY2016:17:32:02,3
17042,IN10032605,PENDINGVEN,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,31MAY2016:13:18:21,3
17194,IN10032645,PENDINGVEN,NW000417,GC WAN,GC WAN,30MAY2016:01:50:04,13
17412,IN10032698,PENDINGVEN,NW000405,Intra-building Network Services,IBN - GC LAN,30MAY2016:15:50:21,1
17800,IN10032781,PENDINGVEN,DC000163,Other Activities,Other - Service Management,01JUN2016:07:13:53,13
17867,IN10032797,PENDINGVEN,NW000417,GC WAN,GC WAN,06JUN2016:15:05:46,456
17908,IN10032806,PENDINGVEN,NW000412,Fixed Line,Fixed Line,03JUN2016:10:35:47,8
17977,IN10032825,PENDINGVEN,0,0,0,01JUN2016:14:09:36,0
17979,IN10032825,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,01JUN2016:14:52:51,849
18026,IN10032835,PENDINGVEN,ITS00332,Secure Remote Access,Secure Remote Access,02JUN2016:08:28:05,54
18037,IN10032837,PENDINGVEN,0,0,0,01JUN2016:17:43:33,0
18038,IN10032837,PENDINGVEN,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,01JUN2016:23:21:01,0
18099,IN10032851,PENDINGVEN,EDC00098,Other Activities,Other - Security,02JUN2016:07:28:09,4
18286,IN10032896,PENDINGVEN,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,06JUN2016:20:01:29,327
18580,IN10032965,PENDINGVEN,NW000431,GC WAN,GC WAN,03JUN2016:14:52:42,3
18663,IN10032985,PENDINGVEN,EDC00062,Email,Email,06JUN2016:10:31:12,1173
18664,IN10032985,PENDINGVEN,EDC00060,Email,Email,09JUN2016:13:06:11,1141
18667,IN10032986,PENDINGVEN,DC000163,Other Activities,Other - Service Management,06JUN2016:09:33:59,16
18709,IN10032994,PENDINGVEN,NW000417,GC WAN,GC WAN,04JUN2016:07:02:13,0
18811,IN10033014,PENDINGVEN,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,06JUN2016:14:31:46,14
18829,IN10033017,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,03NOV2016:11:08:44,35
18837,IN10033019,PENDINGVEN,NW000431,GC WAN,GC WAN,05JUN2016:10:04:35,10
18864,IN10033025,PENDINGVEN,DC000130,High-performance Computing,HPC - Interaction & Visualization,07JUN2016:15:40:53,39
18887,IN10033029,PENDINGVEN,NW000417,GC WAN,GC WAN,29OCT2016:06:27:56,66
18892,IN10033030,PENDINGVEN,DC000163,Other Activities,Other - Service Management,06JUN2016:09:32:44,7
18926,IN10033036,PENDINGVEN,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,06JUN2016:13:37:04,288
19100,IN10033081,PENDINGVEN,NW000412,Fixed Line,Fixed Line,06JUN2016:13:04:29,23
19111,IN10033083,PENDINGVEN,NW000433,GC WAN,GC WAN,06JUN2016:10:33:32,27
19116,IN10033084,PENDINGVEN,NW000405,Intra-building Network Services,IBN - GC LAN,06JUN2016:12:40:00,4
19183,IN10033099,PENDINGVEN,EDC00062,Email,Email,16JUN2016:16:29:21,0
19184,IN10033099,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,28NOV2016:08:21:45,361
19185,IN10033099,PENDINGVEN,NW000464,Email,Email,29NOV2016:08:25:17,0
19210,IN10033105,PENDINGVEN,EDC00025,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,06JUN2016:14:22:11,1
19277,IN10033118,PENDINGVEN,DC000130,High-performance Computing,HPC - Interaction & Visualization,09JUN2016:11:15:13,12
19283,IN10033119,PENDINGVEN,DC000130,High-performance Computing,HPC - Interaction & Visualization,07JUN2016:15:17:31,16
19341,IN10033134,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,07JUN2016:04:26:26,108
19400,IN10033149,PENDINGVEN,NW000431,GC WAN,GC WAN,07JUN2016:09:28:03,18
19521,IN10033177,PENDINGVEN,NW000412,Fixed Line,Fixed Line,30SEP2016:13:14:40,0
19671,IN10033209,PENDINGVEN,NW000431,GC WAN,GC WAN,08JUN2016:08:17:00,10
19765,IN10033230,PENDINGVEN,NW000431,GC WAN,GC WAN,08JUN2016:12:34:33,5
19877,IN10033256,PENDINGVEN,DC000163,Other Activities,Other - Service Management,09JUN2016:00:28:35,2
19888,IN10033259,PENDINGVEN,ESI00028,Other Activities,Other - Security,21JUN2016:10:44:26,48
20002,IN10033286,PENDINGVEN,NW000412,Fixed Line,Fixed Line,10JUN2016:13:44:24,201
20110,IN10033315,PENDINGVEN,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,08JUL2016:12:00:00,86
20199,IN10033342,PENDINGVEN,NW000412,Fixed Line,Fixed Line,03AUG2016:10:25:21,182
20204,IN10033343,PENDINGVEN,NW000412,Fixed Line,Fixed Line,10JUN2016:12:15:59,252
20205,IN10033343,PENDINGVEN,NW000440,Fixed Line,Fixed - PBX,10JUN2016:12:28:35,251
20224,IN10033348,PENDINGVEN,DC000115,Midrange,Midrange - Windows -X86,13JUN2016:07:52:15,1102
20274,IN10033359,PENDINGVEN,NW000417,GC WAN,GC WAN,10JUN2016:15:40:57,1
20301,IN10033365,PENDINGVEN,NW000417,GC WAN,GC WAN,10JUN2016:13:48:38,4
20471,IN10033405,PENDINGVEN,ESI00011,Other Activities,Other - Service Management,16JUN2016:11:31:36,19
20621,IN10033442,PENDINGVEN,DC000163,Other Activities,Other - Service Management,12JUN2016:10:10:34,0
20645,IN10033449,PENDINGVEN,NW000431,GC WAN,GC WAN,13JUN2016:08:13:47,0
20661,IN10033453,PENDINGVEN,DC000163,Other Activities,Other - Service Management,12JUN2016:15:57:49,10
20793,IN10033486,PENDINGVEN,EDC00025,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,13JUN2016:09:13:14,21
20869,IN10033511,PENDINGVEN,DC000130,High-performance Computing,HPC - Interaction & Visualization,13JUN2016:18:30:48,13
20907,IN10033519,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,14JUN2016:09:08:07,17
20998,IN10033540,PENDINGVEN,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,16JUN2016:10:56:24,4
21089,IN10033560,PENDINGVEN,NW000414,Contact Centre,Contact Centre,14JUN2016:14:46:09,149
21192,IN10033581,PENDINGVEN,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,17JUN2016:09:15:15,1
21273,IN10033603,PENDINGVEN,NW000433,GC WAN,GC WAN,15JUN2016:09:47:31,12
21346,IN10033621,PENDINGVEN,NW000417,GC WAN,GC WAN,15JUN2016:10:20:18,18
21375,IN10033629,PENDINGVEN,DC000163,Other Activities,Other - Service Management,15JUN2016:12:11:55,30
21400,IN10033638,PENDINGVEN,NW000433,GC WAN,GC WAN,15JUN2016:15:26:53,7
21496,IN10033662,PENDINGVEN,DC000132,High-performance Computing,High-performance Computing,16JUN2016:13:27:40,10
21610,IN10033683,PENDINGVEN,NW000412,Fixed Line,Fixed Line,15AUG2016:13:28:49,59
21646,IN10033690,PENDINGVEN,NW000417,GC WAN,GC WAN,17JUN2016:08:07:09,1
21758,IN10033715,PENDINGVEN,0,0,0,17JUN2016:04:28:14,0
21760,IN10033715,PENDINGVEN,DC000163,Other Activities,Other - Service Management,17JUN2016:08:38:24,16
