,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
468649,IN10140904,HISTEDIT,EDC00029,Other Activities,Other - Service Management,14MAY2019:15:29:56,0
481664,IN10143960,HISTEDIT,EDC00029,Other Activities,Other - Service Management,06JUN2019:12:49:24,0
485723,IN10144893,HISTEDIT,NW000417,GC WAN,GC WAN,09JUL2019:08:50:14,0
487593,IN10145342,HISTEDIT,EDC00029,Other Activities,Other - Service Management,16JUN2019:16:51:52,0
488193,IN10145492,HISTEDIT,NW000439,Fixed Line,Fixed - VoIP,22JAN2020:19:40:21,0
489044,IN10145717,HISTEDIT,DC000119,Other Activities,Other - Data Centre,30OCT2019:13:52:24,0
494658,IN10146989,HISTEDIT,EDC00006,Mobile Devices,Mobile - Enterprise Mobile Device Management (EMDM),09JUL2019:08:55:42,0
497980,IN10147750,HISTEDIT,NW000403,Intra-building Network Services,IBN - GC LAN,22JUL2019:11:17:13,0
498557,IN10147892,HISTEDIT,NW000408,Fixed Line,Fixed - VoIP,01AUG2019:07:33:14,0
499780,IN10148164,HISTEDIT,NW000431,GC WAN,GC WAN,30JUL2019:13:07:15,0
505073,IN10149431,HISTEDIT,ITS00332,Secure Remote Access,Secure Remote Access,09AUG2019:10:19:00,3
505074,IN10149431,HISTEDIT,ITS00332,Secure Remote Access,Secure Remote Access,09AUG2019:13:44:38,0
507109,IN10149894,HISTEDIT,DC000141,Middleware,Middleware,01AUG2019:08:00:33,0
508688,IN10150268,HISTEDIT,NW000424,GC WAN,GC WAN National,22SEP2019:11:34:45,0
509220,IN10150400,HISTEDIT,ESI00011,Other Activities,Other - Service Management,18OCT2019:14:08:54,0
510256,IN10150649,HISTEDIT,EDC00006,Mobile Devices,Mobile - Enterprise Mobile Device Management (EMDM),01AUG2019:08:13:15,0
511004,IN10150807,HISTEDIT,ITS00331,Other Activities,Other - Security,09SEP2019:10:17:43,0
513771,IN10151456,HISTEDIT,COR00552,Other Activities,Other - Internal Services & Strategy,12AUG2019:12:55:23,0
532453,IN10155415,HISTEDIT,ESI00011,Other Activities,Other - Service Management,04JUN2020:19:36:29,0
533329,IN10155588,HISTEDIT,NW000433,GC WAN,GC WAN,09SEP2019:06:42:41,1
533330,IN10155588,HISTEDIT,NW000433,GC WAN,GC WAN,09SEP2019:08:16:26,0
541206,IN10157171,HISTEDIT,NW000438,Intra-building Network Services,IBN - GC Wi-Fi,07NOV2019:19:20:03,0
544526,IN10157847,HISTEDIT,ESI00011,Other Activities,Other - Service Management,31OCT2019:08:24:51,0
546613,IN10158249,HISTEDIT,EDC00010,Directory Services,Directory Services,01OCT2019:20:43:35,23
546614,IN10158249,HISTEDIT,EDC00010,Directory Services,Directory Services,04OCT2019:10:25:21,26
546615,IN10158249,HISTEDIT,EDC00010,Directory Services,Directory Services,09OCT2019:07:13:27,1
546616,IN10158249,HISTEDIT,EDC00010,Directory Services,Directory Services,09OCT2019:09:09:31,0
554318,IN10159746,HISTEDIT,ESI00011,Other Activities,Other - Service Management,27SEP2019:09:30:55,0
556221,IN10160126,HISTEDIT,ENT00005,Mobile Devices,Mobile - Voice & Data,22OCT2019:14:08:25,0
556446,IN10160166,HISTEDIT,ENT00005,Mobile Devices,Mobile - Voice & Data,22OCT2019:10:40:23,0
557315,IN10160337,HISTEDIT,DC000152,Middleware,Middleware,14NOV2019:08:06:38,0
560560,IN10160960,HISTEDIT,NW000424,GC WAN,GC WAN National,18FEB2020:12:17:57,0
566258,IN10162055,HISTEDIT,NW000417,GC WAN,GC WAN,04NOV2019:14:17:38,2
566259,IN10162055,HISTEDIT,NW000417,GC WAN,GC WAN,04NOV2019:16:32:46,0
576406,IN10164107,HISTEDIT,NW000410,Conferencing Services,Conferencing - Videoconferencing,06DEC2019:14:58:12,0
584409,IN10165687,HISTEDIT,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,21DEC2019:11:39:43,0
598869,IN10168416,HISTEDIT,NW000414,Contact Centre,Contact Centre,20JAN2020:12:45:32,0
598870,IN10168416,HISTEDIT,NW000414,Contact Centre,Contact Centre,20JAN2020:13:30:47,0
599053,IN10168455,HISTEDIT,ITS00342,Firewall,Firewall,20NOV2019:16:39:31,0
605677,IN10169704,HISTEDIT,NW000433,GC WAN,GC WAN,20JAN2020:12:32:07,0
605678,IN10169704,HISTEDIT,NW000433,GC WAN,GC WAN,20JAN2020:13:25:02,0
608371,IN10170195,HISTEDIT,NW000417,GC WAN,GC WAN,17APR2020:15:01:39,0
620806,IN10172539,HISTEDIT,ESI00011,Other Activities,Other - Service Management,02JAN2020:08:08:44,68
620807,IN10172539,HISTEDIT,ESI00011,Other Activities,Other - Service Management,10JAN2020:21:26:26,0
626002,IN10173556,HISTEDIT,DC000236,Midrange,Midrange - Windows -X86,31DEC2019:19:25:24,0
628861,IN10174109,HISTEDIT,ESI00011,Other Activities,Other - Service Management,14JAN2020:12:52:16,0
632048,IN10174769,HISTEDIT,NW000459,GC WAN,GC WAN,08MAY2020:11:48:07,0
641119,IN10176516,HISTEDIT,ITS00341,Firewall,Firewall,30APR2020:09:05:04,0
643697,IN10176993,HISTEDIT,NW000414,Contact Centre,Contact Centre,30APR2020:11:47:26,0
664653,IN10181235,HISTEDIT,DC000152,Middleware,Middleware,17FEB2020:13:15:41,0
664685,IN10181240,HISTEDIT,DC000152,Middleware,Middleware,17FEB2020:13:16:24,0
688210,IN10185614,HISTEDIT,NW000414,Contact Centre,Contact Centre,15MAY2020:13:38:16,0
701667,IN10188272,HISTEDIT,NW000459,GC WAN,GC WAN,26MAY2020:16:04:03,0
731867,IN10194472,HISTEDIT,NW000434,Fixed Line,Fixed Line,27MAY2020:16:16:54,0
732483,IN10194592,HISTEDIT,ESI00011,Other Activities,Other - Service Management,21MAY2020:09:40:18,7
732484,IN10194592,HISTEDIT,ESI00011,Other Activities,Other - Service Management,21MAY2020:16:43:35,22
732485,IN10194592,HISTEDIT,ESI00011,Other Activities,Other - Service Management,22MAY2020:15:38:50,0
732568,IN10194610,HISTEDIT,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,14SEP2020:18:05:55,0
750599,IN10198150,HISTEDIT,NW000503,Contact Centre,Contact Centre,25JUN2020:12:36:00,0
759630,IN10200062,HISTEDIT,ITS00332,Secure Remote Access,Secure Remote Access,25JUN2020:09:04:47,0
764942,IN10201120,HISTEDIT,NW000405,Intra-building Network Services,IBN - GC LAN,06JUL2020:14:06:23,0
767191,IN10201565,HISTEDIT,ITS00352,Other Activities,Other - Security,03NOV2020:12:39:32,0
776792,IN10203453,HISTEDIT,ITS00358,Secure Remote Access,Secure Remote Access,13AUG2020:08:37:08,0
777558,IN10203596,HISTEDIT,NW000449,Intra-building Network Services,IBN - GC LAN,15JUL2020:18:03:35,0
778208,IN10203751,HISTEDIT,EDC00029,Other Activities,Other - Service Management,05JUL2020:11:10:50,0
780128,IN10204114,HISTEDIT,ITS00327,Other Activities,Other - Security,20JUL2020:20:26:22,0
784644,IN10205080,HISTEDIT,EDC00029,Other Activities,Other - Service Management,13JUL2020:19:54:18,0
784988,IN10205167,HISTEDIT,DC000133,High-performance Computing,High-performance Computing,11DEC2020:10:13:02,0
826920,IN10213644,HISTEDIT,ESI00011,Other Activities,Other - Service Management,14OCT2020:12:55:56,0
827225,IN10213694,HISTEDIT,NW000431,GC WAN,GC WAN,13NOV2020:08:45:46,3
827226,IN10213694,HISTEDIT,NW000431,GC WAN,GC WAN,13NOV2020:12:14:42,0
835169,IN10215325,HISTEDIT,ITS00332,Secure Remote Access,Secure Remote Access,28OCT2020:12:57:04,0
848121,IN10217906,HISTEDIT,ITS00344,Firewall,Firewall,17NOV2020:16:00:32,0
855217,IN10219291,HISTEDIT,NW000503,Contact Centre,Contact Centre,03DEC2020:10:32:49,0
862511,IN10220830,HISTEDIT,NW000417,GC WAN,GC WAN,03NOV2020:20:03:17,0
866612,IN10221696,HISTEDIT,NW000417,GC WAN,GC WAN,16NOV2020:18:30:29,0
892972,IN10227266,HISTEDIT,NW000417,GC WAN,GC WAN,23DEC2020:09:24:21,0
893761,IN10227439,HISTEDIT,EDC00029,Other Activities,Other - Service Management,21NOV2020:15:58:18,0
904382,IN10230011,HISTEDIT,ESI00011,Other Activities,Other - Service Management,30DEC2020:19:05:52,79
904383,IN10230011,HISTEDIT,ESI00011,Other Activities,Other - Service Management,12JAN2021:16:35:23,0
927530,IN10234885,HISTEDIT,NW000429,Email,Email,14JAN2021:13:16:42,0
931710,IN10235823,HISTEDIT,NW000430,Intra-building Network Services,IBN - Data Centre Network,12JUL2021:17:01:42,0
935995,IN10236682,HISTEDIT,EDC00029,Other Activities,Other - Service Management,26JAN2021:16:20:03,0
936876,IN10236855,HISTEDIT,ITS00343,Firewall,Firewall,09JUN2021:19:33:01,0
954191,IN10240519,HISTEDIT,ENT00005,Mobile Devices,Mobile - Voice & Data,15MAR2021:08:40:33,0
958635,IN10241490,HISTEDIT,DC000127,High-performance Computing,HPC -Big Data Exchange,0,0
960886,IN10241976,HISTEDIT,NW000431,GC WAN,GC WAN,16MAR2021:12:58:39,0
960887,IN10241976,HISTEDIT,NW000431,GC WAN,GC WAN,16MAR2021:13:01:30,0
962083,IN10242250,HISTEDIT,NW000417,GC WAN,GC WAN,17MAR2021:16:03:12,0
964338,IN10242741,HISTEDIT,ESI00011,Other Activities,Other - Service Management,17MAR2021:12:38:28,0
972316,IN10244637,HISTEDIT,ITS00313,Internal Credential Management (ICM),Internal Credential Management (ICM),22APR2021:14:29:50,9
972317,IN10244637,HISTEDIT,ITS00313,Internal Credential Management (ICM),Internal Credential Management (ICM),23APR2021:13:57:47,0
973129,IN10244977,HISTEDIT,NW000438,Intra-building Network Services,IBN - GC Wi-Fi,26MAR2021:08:50:24,0
975508,IN10245519,HISTEDIT,NW000463,GC WAN,GC WAN,16MAR2021:15:03:18,0
975510,IN10245519,HISTEDIT,SM000537,Other Activities,Other - Service Management,16MAR2021:15:07:24,0
975563,IN10245535,HISTEDIT,SM000537,Other Activities,Other - Service Management,16MAR2021:14:57:54,0
975564,IN10245535,HISTEDIT,SM000537,Other Activities,Other - Service Management,16MAR2021:14:59:05,0
987666,IN10248195,HISTEDIT,SM000586,Other Activities,Other - Service Management,0,0
989137,IN10248489,HISTEDIT,NW000449,Intra-building Network Services,IBN - GC LAN,0,0
1002424,IN10251292,HISTEDIT,EDC00029,Other Activities,Other - Service Management,18APR2021:01:01:36,0
1010674,IN10253110,HISTEDIT,NW000431,GC WAN,GC WAN,18MAY2021:16:07:13,0
1017337,IN10254659,HISTEDIT,0,0,0,0,0
1021183,IN10255600,HISTEDIT,ITS00344,Firewall,Firewall,16JUL2021:11:50:38,0
1033106,IN10258699,HISTEDIT,DC000188,Midrange,Midrange,22JUN2021:18:31:36,0
1055188,IN10266014,HISTEDIT,DC000132,High-performance Computing,High-performance Computing,0,0
1055198,IN10266015,HISTEDIT,NW000431,GC WAN,GC WAN,13JUL2021:11:27:10,0
1076791,IN10271617,HISTEDIT,NW000431,GC WAN,GC WAN,0,0
1076957,IN10271658,HISTEDIT,ESI00011,Other Activities,Other - Service Management,0,0
