,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
67020,IN10044030,SLAHOLD,EDC00024,Data Centre Facilities Management,Facilities - Data Centre Facilities Racking & Stacking,05DEC2016:11:23:55,67
67021,IN10044030,SLAHOLD,EDC00025,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,05DEC2016:12:57:59,66
67048,IN10044035,SLAHOLD,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,05JAN2017:19:14:16,149
67058,IN10044037,SLAHOLD,NW000431,GC WAN,GC WAN,09DEC2016:13:05:54,0
67119,IN10044049,SLAHOLD,ITS00301,Other Activities,Other - Security,05JAN2017:19:04:51,30
67135,IN10044052,SLAHOLD,NW000403,Intra-building Network Services,IBN - GC LAN,04JAN2017:20:15:11,40
67206,IN10044069,SLAHOLD,NW000423,GC WAN,GC WAN International,04JAN2017:20:00:27,5
67340,IN10044101,SLAHOLD,NW000449,Intra-building Network Services,IBN - GC LAN,04JAN2017:19:53:18,127
67341,IN10044101,SLAHOLD,ESI00011,Other Activities,Other - Service Management,23JAN2017:09:11:08,5
67384,IN10044112,SLAHOLD,NW000449,Intra-building Network Services,IBN - GC LAN,04JAN2017:19:46:09,2
67433,IN10044123,SLAHOLD,NW000433,GC WAN,GC WAN,06DEC2016:14:52:20,9
67444,IN10044125,SLAHOLD,DC000117,Storage,Storage,20DEC2016:12:02:53,521
67550,IN10044148,SLAHOLD,NW000414,Contact Centre,Contact Centre,07DEC2016:13:21:17,1
67670,IN10044175,SLAHOLD,EDC00056,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,04JAN2017:19:27:07,27
67679,IN10044176,SLAHOLD,DC000132,High-performance Computing,High-performance Computing,04JAN2017:19:20:41,22
67697,IN10044179,SLAHOLD,DC000132,High-performance Computing,High-performance Computing,04JAN2017:19:07:36,112
67815,IN10044204,SLAHOLD,ITS00306,Other Activities,Other - Security,04JAN2017:18:56:36,1277
67816,IN10044204,SLAHOLD,ESI00011,Other Activities,Other - Service Management,07JUL2017:12:44:57,2
67914,IN10044228,SLAHOLD,NW000429,Email,Email,04JAN2017:18:49:34,195
67922,IN10044230,SLAHOLD,NW000403,Intra-building Network Services,IBN - GC LAN,04JAN2017:18:34:41,650
67978,IN10044242,SLAHOLD,NW000403,Intra-building Network Services,IBN - GC LAN,04JAN2017:18:13:27,36
67979,IN10044242,SLAHOLD,ESI00011,Other Activities,Other - Service Management,06JAN2017:10:21:36,22
67980,IN10044242,SLAHOLD,NW000417,GC WAN,GC WAN,10JAN2017:11:47:35,0
68061,IN10044259,SLAHOLD,ESI00011,Other Activities,Other - Service Management,14DEC2016:15:09:10,236
68107,IN10044269,SLAHOLD,NW000431,GC WAN,GC WAN,16DEC2016:11:58:29,0
68131,IN10044273,SLAHOLD,DC000141,Middleware,Middleware,19DEC2016:16:31:43,0
68146,IN10044278,SLAHOLD,NW000414,Contact Centre,Contact Centre,09DEC2016:13:43:23,117
68229,IN10044301,SLAHOLD,ESI00011,Other Activities,Other - Service Management,09DEC2016:15:02:20,26
68320,IN10044320,SLAHOLD,NW000412,Fixed Line,Fixed Line,05JAN2017:16:56:40,24
68384,IN10044332,SLAHOLD,DC000128,High-performance Computing,High-performance Computing,12JAN2017:19:11:48,28
68401,IN10044336,SLAHOLD,NW000425,GC WAN,GC WAN,12JAN2017:19:13:45,2512
68475,IN10044350,SLAHOLD,NW000408,Fixed Line,Fixed - VoIP,13DEC2016:17:35:11,10
68796,IN10044433,SLAHOLD,DC000110,Data Centre Facilities Management,Data Centre Facilities Management,11DEC2016:10:54:43,0
68810,IN10044437,SLAHOLD,DC000129,High-performance Computing,High-performance Computing,11DEC2016:11:08:02,0
68823,IN10044439,SLAHOLD,DC000127,High-performance Computing,HPC -Big Data Exchange,12JAN2017:19:15:30,33
68929,IN10044467,SLAHOLD,NW000414,Contact Centre,Contact Centre,12DEC2016:10:08:59,49
69306,IN10044555,SLAHOLD,NW000417,GC WAN,GC WAN,13DEC2016:19:29:48,3
69312,IN10044556,SLAHOLD,ESI00011,Other Activities,Other - Service Management,14DEC2016:16:16:52,39
69313,IN10044556,SLAHOLD,EDC00006,Mobile Devices,Mobile - Enterprise Mobile Device Management (EMDM),20DEC2016:14:49:14,1
69314,IN10044556,SLAHOLD,ENT00005,Mobile Devices,Mobile - Voice & Data,20DEC2016:15:04:39,0
69494,IN10044591,SLAHOLD,ESI00028,Other Activities,Other - Security,23DEC2016:11:11:49,339
69771,IN10044663,SLAHOLD,DC000133,High-performance Computing,High-performance Computing,15DEC2016:05:46:44,3
69798,IN10044668,SLAHOLD,DC000133,High-performance Computing,High-performance Computing,15DEC2016:05:49:17,3
69973,IN10044703,SLAHOLD,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,26JAN2017:07:11:35,2012
70137,IN10044735,SLAHOLD,DC000127,High-performance Computing,HPC -Big Data Exchange,16DEC2016:06:45:32,3
70168,IN10044742,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,16DEC2016:10:08:26,12
70291,IN10044772,SLAHOLD,NW000431,GC WAN,GC WAN,05JAN2017:13:18:53,109
70297,IN10044773,SLAHOLD,NW000446,Intra-building Network Services,IBN - GC LAN,20DEC2016:15:59:03,6
70372,IN10044789,SLAHOLD,DC000130,High-performance Computing,HPC - Interaction & Visualization,17DEC2016:04:47:44,4
70431,IN10044803,SLAHOLD,ITS00335,Email,Email,12JAN2017:16:03:37,569
70432,IN10044803,SLAHOLD,NW000441,GC WAN,GC WAN,13JAN2017:10:30:10,564
70433,IN10044803,SLAHOLD,ITS00304,Other Activities,Other - Security,02FEB2017:13:07:59,422
70735,IN10044915,SLAHOLD,NW000414,Contact Centre,Contact Centre,19DEC2016:11:53:41,8
70872,IN10044947,SLAHOLD,NW000405,Intra-building Network Services,IBN - GC LAN,23DEC2016:16:35:02,0
70897,IN10044950,SLAHOLD,DC000130,High-performance Computing,HPC - Interaction & Visualization,19DEC2016:17:47:25,12
70938,IN10044960,SLAHOLD,NW000417,GC WAN,GC WAN,21DEC2016:08:12:03,28
70999,IN10044972,SLAHOLD,DC000128,High-performance Computing,High-performance Computing,20DEC2016:01:42:27,24
71009,IN10044974,SLAHOLD,DC000128,High-performance Computing,High-performance Computing,20DEC2016:03:16:42,8
71056,IN10044985,SLAHOLD,NW000405,Intra-building Network Services,IBN - GC LAN,12JAN2017:16:22:21,2206
71057,IN10044985,SLAHOLD,ESI00011,Other Activities,Other - Service Management,13JAN2017:08:59:49,2203
71058,IN10044985,SLAHOLD,NW000417,GC WAN,GC WAN,16JAN2017:15:19:46,2187
71102,IN10044993,SLAHOLD,EDC00098,Other Activities,Other - Security,20DEC2016:12:46:31,75
71147,IN10045002,SLAHOLD,NW000405,Intra-building Network Services,IBN - GC LAN,29DEC2016:09:39:50,0
71149,IN10045002,SLAHOLD,NW000453,Intra-building Network Services,IBN - GC LAN,10JAN2017:21:19:32,167
71268,IN10045027,SLAHOLD,ITS00322,Directory Services,Directory Services,10JAN2017:21:17:59,118
71298,IN10045034,SLAHOLD,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,10JAN2017:21:16:31,287
71323,IN10045038,SLAHOLD,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,10JAN2017:20:58:26,103
71328,IN10045039,SLAHOLD,DC000133,High-performance Computing,High-performance Computing,21DEC2016:00:58:52,14
71354,IN10045044,SLAHOLD,DC000133,High-performance Computing,High-performance Computing,21DEC2016:01:00:00,9
71486,IN10045076,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,10JAN2017:20:56:31,103
71513,IN10045082,SLAHOLD,NW000428,Email,Email,10JAN2017:20:55:10,501
71514,IN10045082,SLAHOLD,NW000429,Email,Email,20MAR2017:14:42:14,14
71557,IN10045095,SLAHOLD,NW000417,GC WAN,GC WAN,22DEC2016:07:10:14,16
71598,IN10045119,SLAHOLD,NW000405,Intra-building Network Services,IBN - GC LAN,10JAN2017:20:53:10,11
71622,IN10045124,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,10JAN2017:20:51:57,75
71633,IN10045126,SLAHOLD,DC000152,Middleware,Middleware,21DEC2016:16:41:13,15
71642,IN10045128,SLAHOLD,EDC00024,Data Centre Facilities Management,Facilities - Data Centre Facilities Racking & Stacking,22DEC2016:12:44:14,0
71677,IN10045135,SLAHOLD,DC000117,Storage,Storage,23DEC2016:09:53:50,111
71682,IN10045136,SLAHOLD,NW000410,Conferencing Services,Conferencing - Videoconferencing,10JAN2017:20:50:51,245
71683,IN10045136,SLAHOLD,ESI00011,Other Activities,Other - Service Management,08FEB2017:10:57:40,41
71734,IN10045148,SLAHOLD,NW000414,Contact Centre,Contact Centre,22DEC2016:14:40:46,73
71802,IN10045174,SLAHOLD,NW000431,GC WAN,GC WAN,11JAN2017:12:40:01,0
71809,IN10045180,SLAHOLD,DC000127,High-performance Computing,HPC -Big Data Exchange,22DEC2016:17:15:17,2
71884,IN10045204,SLAHOLD,EDC00006,Mobile Devices,Mobile - Enterprise Mobile Device Management (EMDM),22DEC2016:15:56:07,2
71918,IN10045210,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,13JAN2017:09:04:56,0
71930,IN10045214,SLAHOLD,NW000464,Email,Email,10JAN2017:20:11:29,18
71952,IN10045220,SLAHOLD,DC000130,High-performance Computing,HPC - Interaction & Visualization,30DEC2016:12:58:16,6
71958,IN10045221,SLAHOLD,ITS00308,Other Activities,Other - Security,10JAN2017:20:09:41,78
72010,IN10045234,SLAHOLD,ITS00307,Secure Remote Access,Secure Remote Access,29DEC2016:10:18:59,112
72056,IN10045243,SLAHOLD,NW000405,Intra-building Network Services,IBN - GC LAN,06JAN2017:10:45:48,0
72084,IN10045250,SLAHOLD,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,05APR2017:07:32:54,50
72143,IN10045269,SLAHOLD,ESI00011,Other Activities,Other - Service Management,04JAN2017:07:50:05,43
72164,IN10045274,SLAHOLD,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,10JAN2017:19:00:50,173
72347,IN10045321,SLAHOLD,NW000403,Intra-building Network Services,IBN - GC LAN,10JAN2017:18:56:31,27
72348,IN10045321,SLAHOLD,NW000417,GC WAN,GC WAN,13JAN2017:13:59:45,0
72381,IN10045330,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,10JAN2017:18:54:59,70
72431,IN10045344,SLAHOLD,NW000417,GC WAN,GC WAN,27DEC2016:09:20:48,0
72544,IN10045376,SLAHOLD,DC000132,High-performance Computing,High-performance Computing,28DEC2016:07:46:48,0
72594,IN10045386,SLAHOLD,NW000429,Email,Email,28DEC2016:09:51:58,0
72603,IN10045388,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,10JAN2017:18:48:50,124
72604,IN10045388,SLAHOLD,ESI00011,Other Activities,Other - Service Management,20JAN2017:14:54:10,44
72654,IN10045399,SLAHOLD,DC000101,Other Activities,Other - Service Management,04JAN2017:22:14:10,11
72661,IN10045400,SLAHOLD,NW000429,Email,Email,10JAN2017:18:49:33,19
72675,IN10045403,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,04JAN2017:21:52:53,261
72680,IN10045404,SLAHOLD,NW000412,Fixed Line,Fixed Line,04JAN2017:21:43:59,122
72688,IN10045406,SLAHOLD,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,04JAN2017:21:30:08,270
72689,IN10045406,SLAHOLD,ESI00011,Other Activities,Other - Service Management,31JAN2017:08:06:06,117
72710,IN10045410,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,04JAN2017:20:32:00,10
72715,IN10045411,SLAHOLD,ITS00306,Other Activities,Other - Security,04JAN2017:20:14:08,157
72722,IN10045412,SLAHOLD,DC000128,High-performance Computing,High-performance Computing,29DEC2016:03:04:27,0
72743,IN10045417,SLAHOLD,DC000101,Other Activities,Other - Service Management,04JAN2017:20:02:41,11
72846,IN10045440,SLAHOLD,ITS00323,Classified Infrastructure,Classified Infrastructure - Government of Canada Secret Infrastructure (GCSI),04JAN2017:19:41:24,397
72847,IN10045440,SLAHOLD,ESI00011,Other Activities,Other - Service Management,06FEB2017:10:16:06,174
72848,IN10045440,SLAHOLD,NW000459,GC WAN,GC WAN,07FEB2017:10:33:00,164
72852,IN10045441,SLAHOLD,EDC00003,Midrange,Midrange,04JAN2017:19:33:58,8
72876,IN10045446,SLAHOLD,NW000417,GC WAN,GC WAN,04JAN2017:19:31:08,0
72894,IN10045452,SLAHOLD,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,04JAN2017:18:39:59,1
72920,IN10045457,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,04JAN2017:18:36:02,10
72946,IN10045479,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,04JAN2017:17:59:44,11
73181,IN10045642,SLAHOLD,0,0,0,31DEC2016:01:39:29,0
73292,IN10045667,SLAHOLD,NW000417,GC WAN,GC WAN,03JAN2017:12:56:06,25
73351,IN10045681,SLAHOLD,DC000133,High-performance Computing,High-performance Computing,03JAN2017:01:22:34,6
73561,IN10045722,SLAHOLD,DC000113,Midrange,Midrange,03JAN2017:15:26:11,0
73607,IN10045733,SLAHOLD,NW000410,Conferencing Services,Conferencing - Videoconferencing,18JAN2017:09:59:30,630
73608,IN10045733,SLAHOLD,ESI00011,Other Activities,Other - Service Management,20MAR2017:09:41:15,201
73609,IN10045733,SLAHOLD,NW000472,Conferencing Services,Conferencing - Videoconferencing,20MAR2017:09:43:45,201
73647,IN10045745,SLAHOLD,ESI00011,Other Activities,Other - Service Management,03JAN2017:20:49:14,0
73691,IN10045754,SLAHOLD,DC000107,Data Centre Facilities Management,Data Centre Facilities Management,04JAN2017:10:56:05,43
73796,IN10045777,SLAHOLD,ESI00011,Other Activities,Other - Service Management,30JAN2017:11:35:19,124
73967,IN10045813,SLAHOLD,DC000133,High-performance Computing,High-performance Computing,06JAN2017:09:43:21,63
74220,IN10045871,SLAHOLD,ITS00326,Other Activities,Other - Security,10JAN2017:11:35:06,7
74246,IN10045877,SLAHOLD,DC000133,High-performance Computing,High-performance Computing,06JAN2017:06:41:13,1
74247,IN10045877,SLAHOLD,DC000163,Other Activities,Other - Service Management,06JAN2017:08:27:53,0
74557,IN10045952,SLAHOLD,DC000133,High-performance Computing,High-performance Computing,08JAN2017:09:24:47,0
74617,IN10045969,SLAHOLD,NW000431,GC WAN,GC WAN,09JAN2017:14:26:40,5
74621,IN10045970,SLAHOLD,NW000431,GC WAN,GC WAN,09JAN2017:14:25:36,5
74625,IN10045971,SLAHOLD,NW000431,GC WAN,GC WAN,09JAN2017:14:27:10,5
74629,IN10045972,SLAHOLD,NW000431,GC WAN,GC WAN,09JAN2017:14:26:05,5
74633,IN10045973,SLAHOLD,NW000431,GC WAN,GC WAN,09JAN2017:14:28:15,5
74640,IN10045975,SLAHOLD,NW000431,GC WAN,GC WAN,09JAN2017:14:27:46,5
74644,IN10045976,SLAHOLD,NW000431,GC WAN,GC WAN,09JAN2017:14:24:02,5
74689,IN10045986,SLAHOLD,ESI00011,Other Activities,Other - Service Management,20JAN2017:10:38:27,385
74690,IN10045986,SLAHOLD,NW000403,Intra-building Network Services,IBN - GC LAN,20JAN2017:11:48:44,384
74691,IN10045986,SLAHOLD,NW000448,Intra-building Network Services,IBN - GC LAN,07MAR2017:13:07:32,62
74698,IN10045987,SLAHOLD,NW000448,Intra-building Network Services,IBN - GC LAN,27JAN2017:08:51:09,688
74952,IN10046044,SLAHOLD,DC000130,High-performance Computing,HPC - Interaction & Visualization,13JAN2017:11:34:23,10
75051,IN10046066,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,10JAN2017:16:08:20,25
75092,IN10046078,SLAHOLD,EU000203,Storage,Storage - File,17JAN2017:14:16:09,886
75801,IN10046248,SLAHOLD,ITS00325,Government of Canada Managed Security Service,Government of Canada Managed Security Service,01FEB2017:14:03:26,9
75802,IN10046248,SLAHOLD,ESI00011,Other Activities,Other - Service Management,01FEB2017:14:03:45,9
75812,IN10046250,SLAHOLD,ESI00011,Other Activities,Other - Service Management,20JAN2017:09:25:19,93
75943,IN10046278,SLAHOLD,DC000115,Midrange,Midrange - Windows -X86,18JAN2017:11:31:31,9
76038,IN10046302,SLAHOLD,ITS00307,Secure Remote Access,Secure Remote Access,14JAN2017:12:46:26,0
76046,IN10046304,SLAHOLD,ITS00307,Secure Remote Access,Secure Remote Access,14JAN2017:12:39:26,0
76050,IN10046305,SLAHOLD,ITS00307,Secure Remote Access,Secure Remote Access,14JAN2017:12:41:07,0
76059,IN10046307,SLAHOLD,ITS00307,Secure Remote Access,Secure Remote Access,14JAN2017:12:51:37,0
76063,IN10046308,SLAHOLD,ITS00307,Secure Remote Access,Secure Remote Access,14JAN2017:12:42:48,0
76104,IN10046326,SLAHOLD,NW000405,Intra-building Network Services,IBN - GC LAN,16JAN2017:10:25:40,1
